SerialNumber,HostName,HostIp,ModelNumber,DisplayStatus,Manufacturer,UserName,FirmwareVersion
H4ZJ800406,GJLT-0868.aus.gjames.com.au,10.29.4.177,S24E650,ON,SAM,e103508,
H4ZKA00162,GJLT-0868.aus.gjames.com.au,10.29.4.177,S24E650,ON,SAM,e103508,
H4ZK800659,GJWS-0742.aus.gjames.com.au,10.63.4.106,S24E650,Not Connected,SAM,e101639,
H4ZJ800172,GJWS-1135.aus.gjames.com.au,192.168.248.102,S24E650,Not Connected,SAM,e102620,
CN43110F1P,GJPC-0473.aus.gjames.com.au,10.16.4.102,HP E24u G5,Not Connected,,e022641,
CN43110DZ0,GJPC-0473.aus.gjames.com.au,10.16.4.102,HP E24u G5,Not Connected,HPN,e022641,N/A
HMFZ304160,GJWS-0402.aus.gjames.com.au,10.64.5.118,SyncMaster,ON,SAM,E021982,
CN430108DB,GJPC-0450.aus.gjames.com.au,10.18.4.100,HP E24u G5,Not Connected,HPN,E102946,1.30.0.0
CN430108GD,GJPC-0450.aus.gjames.com.au,10.18.4.100,HP E24u G5,Not Connected,HPN,E102946,1.30.0.0
H4ZHA01056,GJWS-1069.aus.gjames.com.au,10.25.4.107,S24E650,Not Connected,SAM,e100637,
H4ZJ800024,GJLT-1432.aus.gjames.com.au,10.55.4.194,S24E650,Not Connected,SAM,e018782,
HTHGC00604,GJLT-1432.aus.gjames.com.au,10.55.4.194,S24E650,Not Connected,SAM,e018782,
H4ZM901904,GJLT-1548.aus.gjames.com.au,192.168.1.10,U28E590,ON,SAM,e007205,
HMBSC06288,GJWS-0734.aus.gjames.com.au,10.63.4.109,SyncMaster,Not Connected,SAM,e101032,
HTPG400132,GJPC-0233.aus.gjames.com.au,10.64.5.119,S24C650,Not Connected,SAM,e016556,
CN422131H8,GJPC-0381.aus.gjames.com.au,127.0.0.1,HP E24u G4,ON,HPN,e021179,1.0.7.0
CN422131GK,GJPC-0381.aus.gjames.com.au,127.0.0.1,HP E24u G4,ON,HPN,e021179,1.0.7.0
HMCS508159,GJWS-0879.aus.gjames.com.au,10.29.4.178,SyncMaster,ON,SAM,e018793,
HMCQ801757,GJWS-0879.aus.gjames.com.au,10.29.4.178,SyncMaster,ON,SAM,e018793,
H4ZJ800022,GJPC-0359.aus.gjames.com.au,10.42.4.178,S24E650,ON,SAM,e018079,
H4ZJ800197,GJPC-0359.aus.gjames.com.au,10.42.4.178,S24E650,ON,SAM,e018079,
HTPGC00717,GJWS-0576.aus.gjames.com.au,10.55.4.181,S24E650,ON,SAM,e101015,
H4LJ400258,GJWS-0576.aus.gjames.com.au,10.55.4.181,S24E650,ON,SAM,e101015,
H4LJ400490,GJWS-1095.aus.gjames.com.au,169.254.151.159,S24E650,Not Connected,SAM,e001542,
H4LJ400252,GJWS-1095.aus.gjames.com.au,169.254.151.159,S24E650,Not Connected,SAM,e001542,
H4LT301155,GJPC-0286.aus.gjames.com.au,10.38.4.102,LF24T450F,Not Connected,SAM,e008975,
H4LT300066,GJPC-0286.aus.gjames.com.au,10.38.4.102,LF24T450F,Not Connected,SAM,e008975,
CNK64315MN,GJWS-1090.aus.gjames.com.au,10.55.4.53,HP V243,ON,HWP,e101798,N/A
CNK64315KN,GJWS-1090.aus.gjames.com.au,10.55.4.53,HP V243,ON,HWP,e101798,N/A
HMAS604103,GJWS-0864.aus.gjames.com.au,10.29.4.172,SyncMaster,ON,SAM,e101951,
HTLF102237,GJWS-0355.aus.gjames.com.au,10.55.4.196,S24C650,ON,SAM,e104096,
H4ZJ701039,GJPC-0283.aus.gjames.com.au,10.55.5.106,S24E650,ON,SAM,e104195,
H4ZJ800325,GJPC-0283.aus.gjames.com.au,10.55.5.106,S24E650,ON,SAM,e104195,
HTPGC00701,GJWS-0573.aus.gjames.com.au,10.55.4.178,S24E650,Not Connected,SAM,e023262,
HTPGC00704,GJWS-0573.aus.gjames.com.au,10.55.4.178,S24E650,Not Connected,SAM,e023262,
HTHFA00894,GJWS-1546.aus.gjames.com.au,10.56.4.186,S24C650,Not Connected,SAM,e103216,
H4ZM600025,GJWS-1546.aus.gjames.com.au,10.56.4.186,S24E650,Not Connected,SAM,e103216,
H4ZH600746,GJWS-4042.aus.gjames.com.au,10.58.4.103,S24E650,Not Connected,SAM,e004754,
HMAQ400742,GJWS-4042.aus.gjames.com.au,10.58.4.103,SyncMaster,ON,SAM,e004754,
HMEZ100535,GJWS-0585.aus.gjames.com.au,10.69.4.104,SyncMaster,ON,SAM,E102890,
H4ZM500155,GJWS-0585.aus.gjames.com.au,10.69.4.104,S24E650,ON,SAM,E102890,
H4ZM600295,GJLT-0772.aus.gjames.com.au,10.64.5.100,S24E650,ON,SAM,e001070,
H4ZM400024,GJLT-0772.aus.gjames.com.au,10.64.5.100,S24E650,ON,SAM,e001070,
H4ZH600634,GJWS-0788.aus.gjames.com.au,10.68.4.107,S24E650,ON,SAM,e007968,
