,,,,,,,,,,,,,,,
Customer account,Name,Creation date,Tax Invoice,Tax invoice date,Customer PO,Purchase order date,Delivery address,Item number,Product name,Quantity,Sales price,Net amount,GST,Gross amount,Serial number
CUS18253,G JAMES AUSTRALIA PTY LTD,5/05/2022,INESA290155,16/05/2022,1481633,5/05/2022,1084 Kinsford Smith DrEAGLE FARM QLD 4009,HU4A6AC,HPE Tech Care Essential SVC.Serial # CN70370C34,1.00,"3,180.00","3,180.00",318.00,"3,498.00",
CUS18253,G JAMES AUSTRALIA PTY LTD,5/05/2022,INESA290155,16/05/2022,1481633,5/05/2022,1084 Kinsford Smith DrEAGLE FARM QLD 4009,HU4A6AC,HPE Tech Care Essential SVC.Serial # CN70370C32,1.00,"3,180.00","3,180.00",318.00,"3,498.00",
CUS18253,G JAMES AUSTRALIA PTY LTD,5/05/2022,INESA290155,16/05/2022,1481633,5/05/2022,1084 Kinsford Smith DrEAGLE FARM QLD 4009,HU4A6AC,HPE Tech Care Essential SVC,1.00,0.00,0.00,0.00,0.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,6/05/2022,INESA289930,11/05/2022,1484105,6/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",SA400S37/240G,KINGSTON 240GB A400 SATA 3 2.5,10.00,44.45,444.50,44.45,488.95,"MS1361637, MS1361638, MS1361639, MS1361640, MS1361641, MS1361642, MS1361643, MS1361644, MS1361645, MS1361646"
CUS18253,G JAMES AUSTRALIA PTY LTD,6/05/2022,INESA289930,11/05/2022,1484105,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,11/05/2022,INESA290258,17/05/2022,1485816,11/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",LF24T450FQEXXY,"SAMSUNG 24"" (16:9) IPS LED, 1920x1080, 4MS, DP, HDMI(2), H/A",10.00,305.55,"3,055.50",305.55,"3,361.05","CXSAH4ZT201465, CXSAH4ZT200625, CXSAH4ZT200310, CXSAH4ZT201469, CXSAH4ZT201021, CXSAH4ZT200312, CXSAH4ZT200309, CXSAH4ZT201467, CXSAH4ZT201025, CXSAH4ZT200624"
CUS18253,G JAMES AUSTRALIA PTY LTD,11/05/2022,INESA290258,17/05/2022,1485816,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,11/05/2022,INESA290746,24/05/2022,1485825,11/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",3G0D2PA,ELITEBOOK 840 G8 I5-1135G7 16GB DDR4-3200 256GB PCIE-NVME SS,1.00,"1,898.88","1,898.88",189.89,"2,088.77",5CG2134VG5
CUS18253,G JAMES AUSTRALIA PTY LTD,11/05/2022,INESA290746,24/05/2022,1485825,11/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",1.00,228.63,228.63,22.86,251.49,MS1361747
CUS18253,G JAMES AUSTRALIA PTY LTD,11/05/2022,INESA290746,24/05/2022,1485825,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,11/05/2022,INESA290508,20/05/2022,1485810,11/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7899E,HP 5y NextBusDay Onsite DT Only HW,1.00,80.13,80.13,8.01,88.14,
CUS18253,G JAMES AUSTRALIA PTY LTD,11/05/2022,INESA290747,24/05/2022,1485810,11/03/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",4D8B1PA,ELITEDESK 800 G8 DESKTOP MINI I5-11500T 8GB DDR4-3200 256GB,1.00,"1,102.63","1,102.63",110.26,"1,212.89",8CC1330D9B
CUS18253,G JAMES AUSTRALIA PTY LTD,11/05/2022,INESA290747,24/05/2022,1485810,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,16/05/2022,INESA290504,20/05/2022,1487084,16/05/2022,636 Southport Nerang RoadASHMORE QLD 4214AUS,U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",2.00,228.63,457.26,45.73,502.99,"MS1362481, MS1362482"
CUS18253,G JAMES AUSTRALIA PTY LTD,16/05/2022,INESA290748,24/05/2022,1487084,20/04/2022,636 Southport Nerang RoadASHMORE QLD 4214AUS,3F9X4PA,ELITEBOOK X360 1040 G8 I5-1145G7 VPRO 8GB DDR4 256GB PCIE-NV,2.00,"2,249.19","4,498.38",449.84,"4,948.22","CND14512SK, CND14512SC"
CUS18253,G JAMES AUSTRALIA PTY LTD,16/05/2022,INESA290748,24/05/2022,1487084,13/04/2022,636 Southport Nerang RoadASHMORE QLD 4214AUS,3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,2.00,"1,488.67","2,977.34",297.73,"3,275.07","5CG21360WN, 5CG2135X50"
CUS18253,G JAMES AUSTRALIA PTY LTD,16/05/2022,INESA290748,24/05/2022,1487084,,636 Southport Nerang RoadASHMORE QLD 4214AUS,FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,16/05/2022,INESA290789,24/05/2022,1487084,16/05/2022,636 Southport Nerang RoadASHMORE QLD 4214AUS,UB0E2E,ELITEBOOK 1000/Z2 WORKSTATION 5Y NBD ONSITE NB ONLY HW SUPP,2.00,299.81,599.62,59.96,659.58,
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA290862,26/05/2022,1489258,19/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",6593-823-399,Jabra EVOLVE 65 INCL. CHARGING STAND MS - MONO,1.00,226.93,226.93,22.69,249.62,00256735653
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA290862,26/05/2022,1489258,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA290994,27/05/2022,1488538,19/05/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",U7899E,HP 5y NextBusDay Onsite DT Only HW,1.00,80.13,80.13,8.01,88.14,
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA291313,2/06/2022,1488538,11/03/2022,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",4D8B1PA,ELITEDESK 800 G8 DESKTOP MINI I5-11500T 8GB DDR4-3200 256GB,1.00,"1,102.63","1,102.63",110.26,"1,212.89",8CC1330F0F
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA291313,2/06/2022,1488538,,"1084 Kingsford Smith Dr,EAGLE FARM QLD 4009",FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA291001,27/05/2022,1488525,19/05/2022,28 Redden StPORTSMITH QLD 4870AUS,U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",1.00,228.63,228.63,22.86,251.49,MS1363232
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA291315,2/06/2022,1488525,22/04/2022,28 Redden StPORTSMITH QLD 4870AUS,3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,1.00,"1,488.67","1,488.67",148.87,"1,637.54",5CG2135TZ1
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA291315,2/06/2022,1488525,,28 Redden StPORTSMITH QLD 4870AUS,FREIGHT,FREIGHT,1.00,20.00,20.00,2.00,22.00,
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA290992,27/05/2022,1488519,19/05/2022,10 Grey Gum RoadTAREE NSW 2430AUS,U7861E,"HP 5YR PARTS & LABOUR, NEXT BUSINESS DAY ONSITE FOR NOTEBOOK",2.00,228.63,457.26,45.73,502.99,"MS1363198, MS1363199"
CUS18253,G JAMES AUSTRALIA PTY LTD,19/05/2022,INESA291314,2/06/2022,1488519,22/04/2022,10 Grey Gum RoadTAREE NSW 2430AUS,3G0D1PA,ELITEBOOK 840 G8 I5-1135G7 8GB DDR4-3200 256GB PCIE-NVME SSD,2.00,"1,488.67","2,977.34",297.73,"3,275.07","5CG2136341, 5CG21361KK"
